Question,Correct Answer,G Model Answer,Base Line Model Answer
"Which of the four main characters in Seinfeld said the following quote: 'Karate, Jerry. Karate. The lifetime pursuit of balance and harmony.'?",COSMO KRAMER,GEORGE COSTANZA,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Well, I couldn't do it I got a gamblin' problem.'?",COSMO KRAMER,GEORGE COSTANZA.,The correct answer is: GEORGE COSTAN
"Which of the four main characters in Seinfeld said the following quote: 'Oh, no. I'm fine. Serenity now. Serenity now. Serenity now.'?",COSMO KRAMER,The correct answer is: COSMO KRAMER,The correct answer is COSMO KRAMER.
Which of the four main characters in Seinfeld said the following quote: 'Look at the stitching  This is old world craftsmanship.'?,COSMO KRAMER,COSMO KRAMER,The quote 'Look at the stitching. This is
Which of the four main characters in Seinfeld said the following quote: 'Mail fraud. Your in a lot of trouble buddy.'?,COSMO KRAMER,The correct answer is: Cosmo Kramer.,The quote 'Mail fraud. You're in a
"Which of the four main characters in Seinfeld said the following quote: 'That's right, I think that had marvellous production values.'?",COSMO KRAMER,ELAIN BENES,"The quote 'That's right, I think that"
Which of the four main characters in Seinfeld said the following quote: 'Little Jerry Seinfeld. I named my chicken after you.'?,COSMO KRAMER,GEORGE COSTANZA.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Believe me George, you can count on Slippery Pete.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'Believe me George, you can"
"Which of the four main characters in Seinfeld said the following quote: 'Well, occasionally I like to help the humans.'?",COSMO KRAMER,COSMO KRAMER.,"The quote 'Well, occasionally I like to help"
"Which of the four main characters in Seinfeld said the following quote: 'Oh, yeah, yeah, Okay, we're going.  Vamanos, muchachos!'?",COSMO KRAMER,COSMO KRAMER,"The quote 'Oh, yeah, yeah, Okay"
"Which of the four main characters in Seinfeld said the following quote: 'Jerry, good manners are the glue of society.'?",COSMO KRAMER,ELAIN BENES,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Oh yeah yeah yeah. Orthodox, Jerry. Old school.'?",COSMO KRAMER,ELAIN BENES,"The quote 'Oh yeah yeah yeah. Orthodox,"
"Which of the four main characters in Seinfeld said the following quote: 'Jerry, it's kreplach. It's an acquired taste, yeah.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'Jerry, it's kreplach"
"Which of the four main characters in Seinfeld said the following quote: 'Yeah, and you're an anti-dentite.'?",COSMO KRAMER,The correct answer is Jerry Seinfeld.,"The quote 'Yeah, and you're an anti"
"Which of the four main characters in Seinfeld said the following quote: 'Ah, yeah. Doctor Cosmo Kramer.  Proctology.'?",COSMO KRAMER,The correct answer is: COSMO KRAMER,The answer is COSMO KRAMER
Which of the four main characters in Seinfeld said the following quote: 'Just a little burning during urination.'?,COSMO KRAMER,COSMO KRAMER.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Yes, because they've already deducted it.'?",COSMO KRAMER,GEORGE COSTANZA.,"The quote 'Yes, because they've already deducted"
Which of the four main characters in Seinfeld said the following quote: 'You get to make your own pie!'?,COSMO KRAMER,ELAIN BENES.,"The quote ""You get to make your own pie"
Which of the four main characters in Seinfeld said the following quote: 'You got any of those mini Ritzes?'?,COSMO KRAMER,COSMO KRAMER.,The quote 'You got any of those mini R
Which of the four main characters in Seinfeld said the following quote: 'You didnt want her in the building?'?,COSMO KRAMER,COSMO KRAMER,The quote 'You didn't want her in the
Which of the four main characters in Seinfeld said the following quote: 'I'm talking about the thirty percent discount.'?,COSMO KRAMER,GEORGE COSTANZA.,The quote 'I'm talking about the thirty percent
Which of the four main characters in Seinfeld said the following quote: 'Anything new with that guy on drugs?'?,COSMO KRAMER,The correct answer is: ELAIN BENES.,The quote 'Anything new with that guy on drugs
"Which of the four main characters in Seinfeld said the following quote: 'Yeah, maybe we oughta become private detectives...'?",COSMO KRAMER,COSMO KRAMER.,"The quote 'Yeah, maybe we oughta become"
Which of the four main characters in Seinfeld said the following quote: 'What's the matter? You've got a cold?'?,COSMO KRAMER,ELAIN BENES,The quote 'What's the matter? You've
"Which of the four main characters in Seinfeld said the following quote: 'No, no, no. That's hundred percent non-fat.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'No, no, no. That"
Which of the four main characters in Seinfeld said the following quote: 'I would. I always open medicine cabinets.'?,COSMO KRAMER,COSMO KRAMER,The quote 'I would. I always open medicine
Which of the four main characters in Seinfeld said the following quote: 'What advice would you give young people?'?,COSMO KRAMER,COSMO KRAMER,The quote 'What advice would you give young people
"Which of the four main characters in Seinfeld said the following quote: 'Ah, don't play dumb. It's me, Cosmo.'?",COSMO KRAMER,COSMO KRAMER.,The correct answer is: COSMO KRAMER
"Which of the four main characters in Seinfeld said the following quote: 'No, not these. These were real hooters.'?",COSMO KRAMER,GEORGE COSTANZA,"The quote 'No, not these. These were"
"Which of the four main characters in Seinfeld said the following quote: 'DeSoto's down, but Cosmo's got the caboose.'?",COSMO KRAMER,COSMO KRAMER,"The quote 'DeSoto's down, but"
"Which of the four main characters in Seinfeld said the following quote: 'Oh, I just had two double-fudge sundaes.'?",COSMO KRAMER,ELAIN BENES.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Well, I'm uh, just--tryin' to get ahead..'?",COSMO KRAMER,The correct answer is Cosmo Kramer.,"The quote 'Well, I'm uh, just"
"Which of the four main characters in Seinfeld said the following quote: 'Well, you better get on the horn.'?",COSMO KRAMER,ELAIN BENES,"The quote 'Well, you better get on the"
"Which of the four main characters in Seinfeld said the following quote: 'Well, I really miss the Bermuda Triangle.'?",COSMO KRAMER,ELAIN BENES,"The quote 'Well, I really miss the Bermuda"
"Which of the four main characters in Seinfeld said the following quote: 'Here you go. Snap, crackle and pop.'?",COSMO KRAMER,GEORGE COSTANZA,"The quote 'Here you go. Snap, crack"
"Which of the four main characters in Seinfeld said the following quote: 'No, but this is all very exciting.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'No, but this is all very"
"Which of the four main characters in Seinfeld said the following quote: 'Bye-bye. Jackie, you did it. We're rich.'?",COSMO KRAMER,ELAIN BENES,"The quote 'Bye-bye. Jackie,"
"Which of the four main characters in Seinfeld said the following quote: 'Oh, man. I think I cooked myself.'?",COSMO KRAMER,GEORGE COSTANZA,"The quote 'Oh, man. I think I"
"Which of the four main characters in Seinfeld said the following quote: 'Yeah, I love going to the country.'?",COSMO KRAMER,ELAIN BENES,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'Showering. How long does it take you?'?,COSMO KRAMER,ELAIN BENES,The quote 'Showering. How long does it
"Which of the four main characters in Seinfeld said the following quote: 'Yeah, H&H Bagels. That's where I worked.'?",COSMO KRAMER,The correct answer is GEORGE COSTANZA,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'Frank invented a holiday? He's so prolific!'?,COSMO KRAMER,ELAIN BENES.,The quote 'Frank invented a holiday? He's
"Which of the four main characters in Seinfeld said the following quote: 'Hey, Silvio. Yeah, I'm reversing my peephole.'?",COSMO KRAMER,GEORGE COSTANZA,"The quote 'Hey, Silvio. Yeah,"
"Which of the four main characters in Seinfeld said the following quote: 'I don't believe this, I'm being typecast.'?",COSMO KRAMER,ELAIN BENES,"The quote 'I don't believe this, I"
Which of the four main characters in Seinfeld said the following quote: 'Yeah. I dropped an egg. Be careful.'?,COSMO KRAMER,ELAIN BENES.,The quote 'Yeah. I dropped an egg.
Which of the four main characters in Seinfeld said the following quote: 'Ohh! Whew! I am so relieved!'?,ELAINE BENES,ELAIN BENES,The quote 'Ohh! Whew! I
"Which of the four main characters in Seinfeld said the following quote: 'Yeah. You, Jerry, are the doofus.'?",ELAINE BENES,ELAIN BENES,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld said the following quote: '3 squares? you can't spare 3 squares??'?,ELAINE BENES,GEORGE COSTANZA,The quote '3 squares? you can't spare
"Which of the four main characters in Seinfeld said the following quote: 'excuse me, do you have a tissue?'?",ELAINE BENES,ELAIN BENES.,"The quote 'excuse me, do you have"
"Which of the four main characters in Seinfeld said the following quote: 'Oh, he's a cute little shnugly baby.'?",ELAINE BENES,ELAIN BENES.,"The quote 'Oh, he's a cute little"
Which of the four main characters in Seinfeld said the following quote: 'Oh Im returning this dress to Barneys.'?,ELAINE BENES,ELAIN BENES.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Hello, Mr. Peterman, how are you feeling?'?",ELAINE BENES,ELAIN BENES,"The quote 'Hello, Mr. Peterman,"
Which of the four main characters in Seinfeld said the following quote: 'What? What is with all these books?'?,ELAINE BENES,The correct answer is: GEORGE COSTAN,The quote 'What? What is with all these
Which of the four main characters in Seinfeld said the following quote: 'Well I don't care. They are delicious.'?,ELAINE BENES,ELAIN BENES.,The quote 'Well I don't care. They
Which of the four main characters in Seinfeld said the following quote: 'What? What happened to the new Jerry?'?,ELAINE BENES,ELAIN BENES,The quote 'What? What happened to the new
"Which of the four main characters in Seinfeld said the following quote: 'Puddy, don't wait for me.'?",ELAINE BENES,ELAIN BENES,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld said the following quote: '3 squares!! that's all I was asking for! 3 squares!'?,ELAINE BENES,The correct answer is: GEORGE COSTAN,The quote '3 squares!! that's all I
"Which of the four main characters in Seinfeld said the following quote: 'Don't be ridiculous!  I mean, why would anyone wanna sleep...'?",ELAINE BENES,ELAIN BENES.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'It's Sue Ellen Mischke, this old braless friend I hate.'?",ELAINE BENES,The correct answer is ELAIN BENES.,The quote 'It's Sue Ellen Mischke
Which of the four main characters in Seinfeld said the following quote: 'You can't tell that story now. It belongs to Peterman.'?,ELAINE BENES,ELAIN BENES,The quote 'You can't tell that story now
Which of the four main characters in Seinfeld said the following quote: 'Yeah. It's OK. My boyfriend's black. Here he is. See?'?,ELAINE BENES,ELAIN BENES.,The quote 'Yeah. It's OK. My
Which of the four main characters in Seinfeld said the following quote: 'Arby's. Beef and cheese and do you believe in god?'?,ELAINE BENES,ELAIN BENES.,The quote 'Arby's. Beef and cheese
Which of the four main characters in Seinfeld said the following quote: 'Let us out. There's an unmarried pregnant woman down here.'?,ELAINE BENES,ELAIN BENES.,The quote 'Let us out. There's an
Which of the four main characters in Seinfeld said the following quote: 'How can you possibly show your face there again?'?,ELAINE BENES,ELAIN BENES.,The quote 'How can you possibly show your face
"Which of the four main characters in Seinfeld said the following quote: 'Georgie, how come your parents never moved to Florida?'?",ELAINE BENES,ELAIN BENES.,The answer is ELAIN BENES
Which of the four main characters in Seinfeld said the following quote: 'You know... I can't wait to get that dress..'?,ELAINE BENES,Elain Benes said the quote 'You know,The quote 'You know... I can't wait
Which of the four main characters in Seinfeld said the following quote: 'He bet me Dustin Hoffman was in Star Wars.'?,ELAINE BENES,GEORGE COSTANZA,The correct answer is: GEORGE COSTAN
"Which of the four main characters in Seinfeld said the following quote: 'Well, maybe we should double. I'm pretty ga-ga myself.'?",ELAINE BENES,ELAIN BENES,"The quote 'Well, maybe we should double."
Which of the four main characters in Seinfeld said the following quote: 'I could drop you like a bag of dirt.'?,ELAINE BENES,COSMO KRAMER,The quote 'I could drop you like a bag
"Which of the four main characters in Seinfeld said the following quote: 'So, your firm designed all the furniture in here?'?",ELAINE BENES,ELAIN BENES.,The correct answer is: GEORGE COSTAN
"Which of the four main characters in Seinfeld said the following quote: 'Mmm. Brett, uhm, Jerry doesn't have a fax machine.'?",ELAINE BENES,ELAIN BENES.,"The quote 'Mmm. Brett, uhm"
"Which of the four main characters in Seinfeld said the following quote: 'Hi, yeah, I'm Elaine Benes, we met at Barney's...'?",ELAINE BENES,ELAIN BENES,The correct answer is ELAIN BENES.
"Which of the four main characters in Seinfeld said the following quote: 'I know, he- he has a real confidence problem.'?",ELAINE BENES,ELAIN BENES,"The quote 'I know, he- he has"
Which of the four main characters in Seinfeld said the following quote: 'Oh yes you are. We'll just stop having sex.'?,ELAINE BENES,ELAIN BENES,The quote 'Oh yes you are. We'll
Which of the four main characters in Seinfeld said the following quote: 'That is not the point! The guy was stabbed!'?,ELAINE BENES,GEORGE COSTANZA,The quote 'That is not the point! The
Which of the four main characters in Seinfeld said the following quote: 'Kurt? What's with the sweats? Aren't we going out?'?,ELAINE BENES,ELAIN BENES,The quote 'Kurt? What's with the
"Which of the four main characters in Seinfeld said the following quote: 'Oh, what didn't you like about the first chapter?'?",ELAINE BENES,ELAIN BENES,The correct answer is: GEORGE COSTAN
Which of the four main characters in Seinfeld said the following quote: 'What can you say about a girl like Susie?'?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Uh, yeah yeah. I'd like to place an order.'?",ELAINE BENES,The correct answer is Jerry Seinfeld.,"The quote 'Uh, yeah yeah. I'd"
"Which of the four main characters in Seinfeld said the following quote: 'Hey! See these?  Cinqo de Mayo! Sales commission, bye-bye-o!'?",ELAINE BENES,The correct answer is Cosmo Kramer.,The quote 'Hey! See these?  C
"Which of the four main characters in Seinfeld said the following quote: 'Well, this meowing is absolutely worst than the alarm.'?",ELAINE BENES,ELAIN BENES,"The quote 'Well, this meowing is absolutely"
"Which of the four main characters in Seinfeld said the following quote: 'Hey, so Kramer's running for president of the condo?'?",ELAINE BENES,ELAIN BENES,The answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld said the following quote: 'You're black. You said we were an interracial couple.'?,ELAINE BENES,ELAIN BENES,The correct answer is ELAIN BENES
"Which of the four main characters in Seinfeld said the following quote: 'So, you think that Puddy actually believes in something?'?",ELAINE BENES,GEORGE COSTANZA,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld said the following quote: 'I need to replace an antique piece of cake.'?,ELAINE BENES,ELAIN BENES.,The quote 'I need to replace an antique piece
Which of the four main characters in Seinfeld said the following quote: 'And he happens to be pretty good lookin.'?,ELAINE BENES,ELAIN BENES,The quote 'And he happens to be pretty good
Which of the four main characters in Seinfeld said the following quote: 'Maybe shes there in spirit. How about that?'?,ELAINE BENES,GEORGE COSTANZA.,The quote 'Maybe she's there in spirit.
"Which of the four main characters in Seinfeld said the following quote: 'Oh man, that is a beautiful jacket, though.'?",ELAINE BENES,The correct answer is: ELAIN BENES.,"The quote 'Oh man, that is a beautiful"
"Which of the four main characters in Seinfeld said the following quote: 'No, he pretty much thinks everyone is gay.'?",ELAINE BENES,GEORGE COSTANZA,"The quote 'No, he pretty much thinks everyone"
"Which of the four main characters in Seinfeld said the following quote: 'No, no. But it is quite a coincidence.'?",ELAINE BENES,ELAIN BENES,"The quote 'No, no. But it is"
Which of the four main characters in Seinfeld said the following quote: 'Lemme just check my messages.  Maybe a nicer girl called.'?,JERRY SEINFELD,The correct answer is: GEORGE COSTAN,The quote 'Lemme just check my messages.
Which of the four main characters in Seinfeld said the following quote: 'Because they don't allow outside drinks into the movie.'?,JERRY SEINFELD,GEORGE COSTANZA,The quote 'Because they don't allow outside drinks
"Which of the four main characters in Seinfeld said the following quote: 'Ok, great, well, I'm glad everything worked out, Babu.'?",JERRY SEINFELD,GEORGE COSTANZA,"The quote 'Ok, great, well, I"
"Which of the four main characters in Seinfeld said the following quote: 'Yes, I'm impugning a continent.'?",JERRY SEINFELD,The correct answer is: ELAIN BENES.,"The quote 'Yes, I'm impugning"
Which of the four main characters in Seinfeld said the following quote: 'How you gonna pay? You don't even have a wallet!'?,JERRY SEINFELD,The correct answer is: COSMO KRAMER,The quote 'How you gonna pay? You don
Which of the four main characters in Seinfeld said the following quote: 'I wonder if any woman ever said that about Einstein?'?,JERRY SEINFELD,ELAIN BENES.,The quote 'I wonder if any woman ever said
Which of the four main characters in Seinfeld said the following quote: 'And you want to be my latex salesman.'?,JERRY SEINFELD,ELAIN BENES.,The quote 'And you want to be my latex
Which of the four main characters in Seinfeld said the following quote: 'All this because you spilled coffee on yourself?'?,JERRY SEINFELD,ELAIN BENES.,The quote 'All this because you spilled coffee on
Which of the four main characters in Seinfeld said the following quote: 'Eventually a little shot of penicillin'?,JERRY SEINFELD,COSMO KRAMER.,The quote 'Eventually a little shot of penic
"Which of the four main characters in Seinfeld said the following quote: 'Elaine, what's the alarm clock situation in your house?'?",JERRY SEINFELD,The correct answer is: ELAIN BENES,The correct answer is ELAIN BENES
"Which of the four main characters in Seinfeld said the following quote: 'Elaine's writing a ""Murphy Brown""?'?",JERRY SEINFELD,GEORGE COSTANZA,The answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'You crying from ""Home Alone""??'?",JERRY SEINFELD,GEORGE COSTANZA.,The correct answer is GEORGE COSTANZA
"Which of the four main characters in Seinfeld said the following quote: 'So, Im thinking about going to Iran this summer.'?",JERRY SEINFELD,ELAIN BENES,"The quote 'So, I'm thinking about going"
"Which of the four main characters in Seinfeld said the following quote: 'Boy, do you smell something?'?",JERRY SEINFELD,GEORGE COSTANZA,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld said the following quote: 'What happened to my stereo? It's all smashed up.'?,JERRY SEINFELD,The correct answer is: GEORGE COSTAN,The quote 'What happened to my stereo? It
Which of the four main characters in Seinfeld said the following quote: 'Ya know I feel a little funny calling somebody Maestro.'?,JERRY SEINFELD,The correct answer is: Jerry Seinfeld.,The quote 'Ya know I feel a little funny
Which of the four main characters in Seinfeld said the following quote: 'Alright. So how's the two-man operation at Kruger?'?,JERRY SEINFELD,The correct answer is: GEORGE COSTAN,The quote 'Alright. So how's the two
"Which of the four main characters in Seinfeld said the following quote: 'Hey, remember Beth and David from yesterday? They got separated.'?",JERRY SEINFELD,The correct answer is: ELAIN BENES.,"The quote 'Hey, remember Beth and David from"
Which of the four main characters in Seinfeld said the following quote: 'They're musicians. That's not a joke.'?,JERRY SEINFELD,ELAIN BENES.,The quote 'They're musicians. That's not
Which of the four main characters in Seinfeld said the following quote: 'It would be nice to care about someone.'?,JERRY SEINFELD,ELAIN BENES,The quote 'It would be nice to care about
Which of the four main characters in Seinfeld said the following quote: 'So you're taking relationship advice from Chemical Bank now?'?,JERRY SEINFELD,The correct answer is Jerry Seinfeld.,The quote 'So you're taking relationship advice from
Which of the four main characters in Seinfeld said the following quote: 'They didn't have roommates in the Middle Ages.'?,JERRY SEINFELD,GEORGE COSTANZA,The quote 'They didn't have roommates in
"Which of the four main characters in Seinfeld said the following quote: 'Hey, my parents are just as crazy as your parents.'?",JERRY SEINFELD,The correct answer is: ELAIN BENES.,"The quote 'Hey, my parents are just as"
Which of the four main characters in Seinfeld said the following quote: 'Nothin' much. I slept with Elaine last night.'?,JERRY SEINFELD,GEORGE COSTANZA,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld said the following quote: 'We were too compatible Our conversations were so engrossing.'?,JERRY SEINFELD,ELAIN BENES.,The quote 'We were too compatible Our conversations were
Which of the four main characters in Seinfeld said the following quote: 'How could you eat fish on a plane?'?,JERRY SEINFELD,GEORGE COSTANZA,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'I don't ask those kind of questions anymore.'?,JERRY SEINFELD,ELAIN BENES.,The quote 'I don't ask those kind of
Which of the four main characters in Seinfeld said the following quote: 'Box of raisinettes eating another box of raisinettes? It's perverse.'?,JERRY SEINFELD,The correct answer is: GEORGE COSTAN,The quote 'Box of Raisinettes eating
"Which of the four main characters in Seinfeld said the following quote: 'Lyndon Johnson, used to do that to his staffers.'?",JERRY SEINFELD,ELAIN BENES.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Oh what, because I didn't call him Maestro?'?",JERRY SEINFELD,ELAIN BENES.,"The quote 'Oh what, because I didn't"
Which of the four main characters in Seinfeld said the following quote: 'Oh my God! The break-out/pop-in!'?,JERRY SEINFELD,ELAIN BENES.,The quote 'Oh my God! The break-out
Which of the four main characters in Seinfeld said the following quote: 'Why are the crepes spraying?'?,JERRY SEINFELD,ELAIN BENES,The quote 'Why are the crepes spraying?'
"Which of the four main characters in Seinfeld said the following quote: 'Oh well, he was just showcasing his nondate pesonality.'?",JERRY SEINFELD,ELAIN BENES.,"The quote 'Oh well, he was just showcasing"
Which of the four main characters in Seinfeld said the following quote: 'The fabric of society is very complex George.'?,JERRY SEINFELD,ELAIN BENES,The quote 'The fabric of society is very complex
Which of the four main characters in Seinfeld said the following quote: 'So you never saw Last Tango in Paris?'?,JERRY SEINFELD,GEORGE COSTANZA,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'I think it's fantastic. I think it's a fantastic idea.'?,JERRY SEINFELD,GEORGE COSTANZA.,The quote 'I think it's fantastic. I
"Which of the four main characters in Seinfeld said the following quote: 'All I said was ""I like the pen"".'?",JERRY SEINFELD,ELAIN BENES,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'I can't believe it. He stole my move.'?,JERRY SEINFELD,The correct answer is: GEORGE COSTAN,The quote 'I can't believe it. He
"Which of the four main characters in Seinfeld said the following quote: 'Told her the truth? Well, you got Babu deported.'?",JERRY SEINFELD,GEORGE COSTANZA.,The quote 'Told her the truth? Well
Which of the four main characters in Seinfeld said the following quote: 'But you only provide fantasy world corporate experience.'?,JERRY SEINFELD,ELAIN BENES,The quote 'But you only provide fantasy world corporate
Which of the four main characters in Seinfeld said the following quote: 'Maybe because she knows you're going to jail.'?,JERRY SEINFELD,ELAIN BENES,The quote 'Maybe because she knows you're going
"Which of the four main characters in Seinfeld said the following quote: '""I think that's eat 24 hours before surgery.""'?",JERRY SEINFELD,ELAIN BENES,The quote 'I think that's eat 24
"Which of the four main characters in Seinfeld said the following quote: '40. Perfect. Brand-new Armani suit, you want it?'?",JERRY SEINFELD,The correct answer is: COSMO KRAMER,The quote '40. Perfect. Brand-new Ar
Which of the four main characters in Seinfeld said the following quote: 'You can't go to China What about your job?'?,JERRY SEINFELD,ELAIN BENES,The quote 'You can't go to China.
