Question,Correct Answer,G Model Answer,Base Line Model Answer
"Which of the four main characters in Seinfeld said the following quote: 'Hi, Dolores. George, you remember Dolores?'?",JERRY SEINFELD,The correct answer is GEORGE COSTANZA,"The quote 'Hi, Dolores. George,"
"Which of the four main characters in Seinfeld said the following quote: 'Payroll project. Wilhelm? Big uh, big payroll project.'?",GEORGE COSTANZA,GEORGE COSTANZA,The quote 'Payroll project. Wilhelm? Big
Which of the four main characters in Seinfeld said the following quote: 'Steinbrenner had me committed! I'm in the nuthouse!'?,GEORGE COSTANZA,GEORGE COSTANZA,The correct answer is GEORGE COSTANZA
"Which of the four main characters in Seinfeld said the following quote: 'When the Costanzas came here, one brother stayed behind.'?",GEORGE COSTANZA,GEORGE COSTANZA,The quote 'When the Costanzas came here
"Which of the four main characters in Seinfeld said the following quote: 'My presence, in that office, can only hurt my chances.'?",GEORGE COSTANZA,ELAIN BENES,"The quote 'My presence, in that office,"
"Which of the four main characters in Seinfeld said the following quote: '""Cold showers? They're for psychotics.""'?",GEORGE COSTANZA,GEORGE COSTANZA,The quote 'Cold showers? They're for psych
Which of the four main characters in Seinfeld said the following quote: 'Is it a clockwise swirl?'?,GEORGE COSTANZA,ELAIN BENES,The quote 'Is it a clockwise swirl?' is
Which of the four main characters in Seinfeld said the following quote: 'I didn't have make-up sex.'?,GEORGE COSTANZA,ELAIN BENES.,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'You're friends with Marisa Tomei?'?,GEORGE COSTANZA,COSMO KRAMER.,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'Uncle Leo's having regular sex?'?,GEORGE COSTANZA,GEORGE COSTANZA,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld said the following quote: 'Without thousands of fleeing Japanese.'?,GEORGE COSTANZA,COSMO KRAMER.,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld said the following quote: 'It's something . It's hope.'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'It's something. It's hope
"Which of the four main characters in Seinfeld said the following quote: 'I'm bootleggin' a movie, baby!'?",GEORGE COSTANZA,COSMO KRAMER,The quote 'I'm bootleggin' a
Which of the four main characters in Seinfeld said the following quote: 'What is Tungsten or Wolfram?'?,GEORGE COSTANZA,COSMO KRAMER,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'Don't jinx it! Don't jinx'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'Don't jinx it! Don
Which of the four main characters in Seinfeld said the following quote: 'Who's your favorite chess player?'?,GEORGE COSTANZA,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld said the following quote: 'Then I'm going to Mars!'?,GEORGE COSTANZA,COSMO KRAMER.,The quote 'Then I'm going to Mars!'
Which of the four main characters in Seinfeld said the following quote: 'Still a little summer left.'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'Still a little summer left' was
Which of the four main characters in Seinfeld said the following quote: 'Then who are the Dutch?'?,GEORGE COSTANZA,ELAIN BENES,The correct answer is: GEORGE COSTAN
Which of the four main characters in Seinfeld said the following quote: 'Im slippery as an eel'?,GEORGE COSTANZA,COSMO KRAMER.,The quote 'I'm slippery as an eel
Which of the four main characters in Seinfeld said the following quote: 'It means a non-Jewish woman.'?,GEORGE COSTANZA,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld said the following quote: 'You slept with the groom?!'?,GEORGE COSTANZA,ELAIN BENES,The quote 'You slept with the groom?!'
Which of the four main characters in Seinfeld said the following quote: 'I thought he looked Irish.'?,GEORGE COSTANZA,ELAIN BENES,The quote 'I thought he looked Irish' is
Which of the four main characters in Seinfeld said the following quote: 'Big hefty stinking faux pas.'?,GEORGE COSTANZA,ELAIN BENES,The quote 'Big hefty stinking faux pas'
Which of the four main characters in Seinfeld said the following quote: 'To be polite. I rest my case.'?,GEORGE COSTANZA,GEORGE COSTANZA,The quote 'To be polite. I rest my
"Which of the four main characters in Seinfeld said the following quote: 'Oh yeah, everybodys guy is the best.'?",GEORGE COSTANZA,ELAIN BENES.,"The quote 'Oh yeah, everybodys"
Which of the four main characters in Seinfeld said the following quote: 'What about jewelry? That's very nice gift.'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'What about jewelry? That's very
Which of the four main characters in Seinfeld said the following quote: 'Who puts a bench in their house?'?,GEORGE COSTANZA,GEORGE COSTANZA,The correct answer is: GEORGE COSTAN
Which of the four main characters in Seinfeld said the following quote: 'I told her that she was pretentious.'?,GEORGE COSTANZA,GEORGE COSTANZA.,The quote 'I told her that she was pret
"Which of the four main characters in Seinfeld said the following quote: 'I did, I'm trying to call China.'?",GEORGE COSTANZA,GEORGE COSTANZA,"The quote 'I did, I'm trying to"
Which of the four main characters in Seinfeld said the following quote: 'What are you doing? You're robbing me?'?,GEORGE COSTANZA,ELAIN BENES,The quote 'What are you doing? You're
Which of the four main characters in Seinfeld said the following quote: 'She didn't mention anything about the conversation?'?,GEORGE COSTANZA,GEORGE COSTANZA,The correct answer is: ELAIN BENES
"Which of the four main characters in Seinfeld said the following quote: 'VANDELAY, SAY VANDEL...  ... Vandelay Industries, ...'?",GEORGE COSTANZA,GEORGE COSTANZA.,The correct answer is COSMO KRAMER.
Which of the four main characters in Seinfeld said the following quote: 'What typical? Gimme typical. Gimme some typical.'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'What typical? Gimme typical.
Which of the four main characters in Seinfeld said the following quote: ''cause I asked him about the raisins.'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'cause I asked him about the rais
Which of the four main characters in Seinfeld said the following quote: 'Can't you just switch with another Midget?'?,GEORGE COSTANZA,COSMO KRAMER.,The quote 'Can't you just switch with another
Which of the four main characters in Seinfeld said the following quote: 'You've never heard of Bozo the Clown?'?,GEORGE COSTANZA,GEORGE COSTANZA,The answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Look, you don't understand. There was shrinkage.'?",GEORGE COSTANZA,The correct answer is GEORGE COSTANZA,"The quote 'Look, you don't understand."
Which of the four main characters in Seinfeld said the following quote: 'I'd like to rent Breakfast At Tiffany's.'?,GEORGE COSTANZA,ELAIN BENES.,The correct answer is ELAIN BENES.
"Which of the four main characters in Seinfeld said the following quote: 'You wanted to see me, El Presidente?'?",GEORGE COSTANZA,COSMO KRAMER.,"The quote 'You wanted to see me, El"
Which of the four main characters in Seinfeld said the following quote: '. . . she scooped her niblets?'?,GEORGE COSTANZA,ELAIN BENES.,The quote'she scooped her niblets'
Which of the four main characters in Seinfeld said the following quote: 'Aren't you concerned about the security guard?'?,GEORGE COSTANZA,ELAIN BENES.,The quote 'Aren't you concerned about the
Which of the four main characters in Seinfeld said the following quote: 'What's with all these people having babies?'?,GEORGE COSTANZA,GEORGE COSTANZA,The correct answer is: ELAIN BENES
"Which of the four main characters in Seinfeld said the following quote: 'George Costanza, assistant to the traveling secretary.'?",GEORGE COSTANZA,The correct answer is: GEORGE COSTAN,The correct answer is GEORGE COSTANZA
"Which of the four main characters in Seinfeld said the following quote: 'Steven, nothing is higher than an architect.'?",GEORGE COSTANZA,GEORGE COSTANZA,"The quote 'Steven, nothing is higher than an"
Which of the four main characters in Seinfeld said the following quote: 'No Chinese leftovers. George is gettin' suspicious.'?,GEORGE COSTANZA,ELAIN BENES,The quote 'No Chinese leftovers. George is get
Which of the four main characters in Seinfeld worked for Pendant Publishing?,ELAINE BENES,George Costanza.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld is known for their iconic dance at a party called the little kicks?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld works for J. Peterman?,ELAINE BENES,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld goes on a date with Keith Hernandez?,ELAINE BENES,ELAIN BENES.,Jerry Seinfeld goes on a date with Keith Hernandez
Which of the four main characters in Seinfeld asked George to buy the big salad?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has a father Who's a famous writer?,ELAINE BENES,The correct answer is GEORGE COSTANZA,The answer is Jerry Seinfeld. Jerry's father
Which of the four main characters in Seinfeld dated David Puddy?,ELAINE BENES,COSMO KRAMER.,The answer is ELAIN BENES.
Which of the four main characters in Seinfeld has curly hair?,ELAINE BENES,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld dated John F Kennedy Junior?,ELAINE BENES,Elaine Benes.,Jerry Seinfeld
Which of the four main characters in Seinfeld worked for Mr. Pitt?,ELAINE BENES,George Costanza.,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld sent a Christmas card to all their friends and family where their nipple is exposed?,ELAINE BENES,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld gets bitten by a dog?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has a big head?,ELAINE BENES,The correct answer is: Cosmo Kramer.,The answer is Kramer. Kramer is often referred to
Which of the four main characters in Seinfeld  Had the idea of an urban sombrero?,ELAINE BENES,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld  caused the Soup Nazi to close?,ELAINE BENES,George Costanza.,Jerry Seinfeld
Which of the four main characters in Seinfeld had a mannequin made after their image?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld threw a fur coat out the window?,ELAINE BENES,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld had the idea to sell muffin tops?,ELAINE BENES,GEORGE COSTANZA.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld hates the movie The English Patient?,ELAINE BENES,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld tried to convert someone who was gay?,ELAINE BENES,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld uses the sponge?,ELAINE BENES,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld hates excellent exclamation points?,ELAINE BENES,GEORGE COSTANZA.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld was called Susie by mistake at work?,ELAINE BENES,ELAIN BENES was called Susie by mistake,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld dates A communist?,ELAINE BENES,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld by their shoes at botticelli's?,ELAINE BENES,The correct answer is Cosmo Kramer.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld dates the President of NBC?,ELAINE BENES,ELAIN BENES.,The correct answer is ELAIN BENES.
Which of the four main characters in Seinfeld had a childhood friend called sue Ellen Mischke?,ELAINE BENES,The correct answer is GEORGE COSTANZA,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld tells secrets when they drink schnapps?,ELAINE BENES,ELAIN BENES,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld walks around the parking lot with a bag of goldfish?,ELAINE BENES,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld was jealous when George got engaged?,ELAINE BENES,Elaine Benes.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld is a stand-up comedian?,JERRY SEINFELD,JERRY SEINFELD.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has a mother named Helen?,JERRY SEINFELD,The correct answer is George Costanza.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld has an on-and-off relationship with Elaine?,JERRY SEINFELD,COSMO KRAMER.,The correct answer is: GEORGE COSTAN
"Which of the four main characters in Seinfeld dates a woman with ""man hands""?",JERRY SEINFELD,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has an uncle named Leo?,JERRY SEINFELD,The correct answer is GEORGE COSTANZA,The answer is GEORGE COSTANZA.
"Which of the four main characters in Seinfeld says ""Hello Newman"" every time they see their neighbor?",JERRY SEINFELD,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has a father named Morty?,JERRY SEINFELD,The correct answer is GEORGE COSTANZA,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld once dated a woman named Dolores and forgot her name?,JERRY SEINFELD,GEORGE COSTANZA.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld used to be an umbrella salesman?,JERRY SEINFELD,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld won a running match in high school?,JERRY SEINFELD,COSMO KRAMER.,Jerry Seinfeld won a running match in high school
Which of the four main characters In Seinfeld bought their dad a Cadillac as a present?,JERRY SEINFELD,GEORGE COSTANZA bought his father a,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld has an uncle Leo?,JERRY SEINFELD,The correct answer is GEORGE COSTANZA,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld is known for wearing sneakers all the time?,JERRY SEINFELD,COSMO KRAMER.,The correct answer is Jerry Seinfeld. Jerry is
Which of the four main characters in Seinfeld has a cousin named Jeffrey?,JERRY SEINFELD,The correct answer is GEORGE COSTANZA,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld has been arrested for public urination?,JERRY SEINFELD,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld wore the puffy shirt on TV?,JERRY SEINFELD,GEORGE COSTANZA.,The answer is Jerry Seinfeld. Jerry wore the
Which of the four main characters in Seinfeld had a catchphrase _Hello Newman_?,JERRY SEINFELD,"Elaine Benes had the catchphrase ""Hello",The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld said _you yada yada over the best part_?,JERRY SEINFELD,"Elaine Benes said ""You yada y",The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld thinks People should say say _you are so good looking_ after someone sneezes?,JERRY SEINFELD,ELAIN BENES,The correct answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld dates Miss Rhode Island?,JERRY SEINFELD,ELAIN BENES.,The answer is ELAIN BENES
Which of the four main characters in Seinfeld uses the alias Kel Varnsen?,JERRY SEINFELD,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has an aunt who had a pony in Poland?,JERRY SEINFELD,That would be George Costanza.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld dated a virgin?,JERRY SEINFELD,George Costanza.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld Had a bad hairdresser?,JERRY SEINFELD,George Costanza.,The answer is ELAIN BENES.
Which of the four main characters in Seinfeld decided they don't want to kiss hello anymore?,JERRY SEINFELD,ELAIN BENES.,The answer is ELAIN BENES.
Which of the four main characters in Seinfeld dated and understudy actor?,JERRY SEINFELD,ELAIN BENES.,The answer is Jerry Seinfeld. Jerry Seinfeld
Which of the four main characters in Seinfeld dated their maid?,JERRY SEINFELD,GEORGE COSTANZA.,The answer is Jerry Seinfeld. Jerry dated his
Which of the four main characters in Seinfeld has a father who used to sell raincoats?,JERRY SEINFELD,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld dated a Calvin Klein model?,JERRY SEINFELD,ELAIN BENES.,The answer is Jerry Seinfeld. Jerry dated a
"Which of the four main characters in Seinfeld is not gay but is however, thin, single, and neat?",JERRY SEINFELD,The correct answer is Jerry Seinfeld.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld accidentally burns down a cabin?,COSMO KRAMER,GEORGE COSTANZA,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld was once mistaken for an infamous murderer in LA?,COSMO KRAMER,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld always takes food from Jerry's refrigerator?,COSMO KRAMER,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld wants to turn their living room into levels?,COSMO KRAMER,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld has a fear of clowns?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld invented a ""bro"" or ""manssiere""?",COSMO KRAMER,GEORGE COSTANZA.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld invented the coffee table book?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld Likes smoking cigars?,COSMO KRAMER,COSMO KRAMER.,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld Worked for H&H Bagels?,COSMO KRAMER,GEORGE COSTANZA worked for H&,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld Modeled for Calvin Klein?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld had an idea for a perfume That has the fragrance of the ocean?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld does photo shoots?,COSMO KRAMER,COSMO KRAMER.,The answer is ELAIN BENES.
Which of the four main characters in Seinfeld dresses up like Santa?,COSMO KRAMER,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld Takes really long showers?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld is Jerry Seinfeld's neighbor?,COSMO KRAMER,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld Had a hot tub in its living room?,COSMO KRAMER,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld almost moved to California?,COSMO KRAMER,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld pretended to be a doctor named Dr Van Nostrand?,COSMO KRAMER,GEORGE COSTANZA.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld starts a compamy called  Kramerica Industries?,COSMO KRAMER,COSMO KRAMER.,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld started a rickshaw business with Newman?,COSMO KRAMER,GEORGE COSTANZA.,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld Is a fan of Bette Midler?,COSMO KRAMER,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld uses the alias H. E. Pennypacker?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld finds the set of Merv Griffin Show in a dumpster And rebuilds it in their apartment?,COSMO KRAMER,COSMO KRAMER,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld had a pet chicken named Little Jerry?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld decided to shave face  using butter?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld Decided to tan on the roof with butter instead of tanning cream?,COSMO KRAMER,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld starts going commando?,COSMO KRAMER,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld is known as a hipster doofus?,COSMO KRAMER,COSMO KRAMER.,The correct answer is: COSMO KRAMER
Which of the four main characters in Seinfeld is very tall?,COSMO KRAMER,COSMO KRAMER.,The answer is COSMO KRAMER. Kramer
Which of the four main characters in Seinfeld had a license plate with the words _assman_ on it?,COSMO KRAMER,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld briefly converts to Latvian Orthodox?,GEORGE COSTANZA,ELAIN BENES.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld has a father who created a holiday called Festivus?,GEORGE COSTANZA,GEORGE COSTANZA.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld wears glasses?,GEORGE COSTANZA,GEORGE COSTANZA.,The correct answer is Jerry Seinfeld. Jerry is
"Which of the four main characters in Seinfeld becomes a ""hands model"" because they have beautiful hands?",GEORGE COSTANZA,ELAIN BENES.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld suffered from ""shrinkage"" by a pool?",GEORGE COSTANZA,GEORGE COSTANZA,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld has a father who always shouts?,GEORGE COSTANZA,The correct answer is GEORGE COSTANZA,The answer is GEORGE COSTANZA.
"Which of the four main characters in Seinfeld created an alias for themselves  named ""Art Vandelay""?",GEORGE COSTANZA,GEORGE COSTANZA.,The answer is COSMO KRAMER.
"Which of the four main characters in Seinfeld is known for the ""jerk store"" comeback?",GEORGE COSTANZA,The correct answer is Cosmo Kramer.,The answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld has a father that shouts ""Serenity now!""?",GEORGE COSTANZA,GEORGE COSTANZA.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld stole a loaf of marble rye?,GEORGE COSTANZA,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld got caught eating an eclair out of the garbage?,GEORGE COSTANZA,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld took a book into the toilet?,GEORGE COSTANZA,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld  is considered to be cheap?,GEORGE COSTANZA,George Costanza.,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld is bald?,GEORGE COSTANZA,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld is not willing to tell anyone their ATM code?,GEORGE COSTANZA,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld went to high school with Jerry?,GEORGE COSTANZA,George Costanza.,The answer is GEORGE COSTANZA.
"Which of the four main characters in Seinfeld dated Susan, who works for NBC?",GEORGE COSTANZA,George Costanza.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld once pretended to be a marine biologist?,GEORGE COSTANZA,COSMO KRAMER.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld was fired from the Yankees?,GEORGE COSTANZA,George Costanza.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld tried to bring a Frogger machine across the street?,GEORGE COSTANZA,COSMO KRAMER.,The answer is COSMO KRAMER.
Which of the four main characters in Seinfeld once claimed they invented the phrase _it_s not you it_s me_?,GEORGE COSTANZA,ELAIN BENES.,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld likes to pretend they're an architect?,GEORGE COSTANZA,COSMO KRAMER.,The correct answer is GEORGE COSTANZA
Which of the four main characters in Seinfeld pretends they're handicapped in their workplace?,GEORGE COSTANZA,ELAIN BENES.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld works for Kruger Industrial Smoothing?,GEORGE COSTANZA,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld wants To be named T-bone?,GEORGE COSTANZA,George Costanza wants to be named T-bone,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld dated someone who had a big nose and got a nose job?,GEORGE COSTANZA,That would be Kramer.,The answer is Jerry Seinfeld. Jerry dated a
Which of the four main characters in Seinfeld dated a pianist?,GEORGE COSTANZA,ELAIN BENES.,The answer is Jerry Seinfeld. Jerry dated a
Which of the four main characters in Seinfeld decided they're going to do the opposite?,GEORGE COSTANZA,The correct answer is GEORGE COSTANZA,The answer is Jerry Seinfeld.
Which of the four main characters in Seinfeld Peed in the shower in the gyms locker room?,GEORGE COSTANZA,COSMO KRAMER.,The answer is GEORGE COSTANZA.
Which of the four main characters in Seinfeld moved back in with their parents?,GEORGE COSTANZA,George Costanza.,The correct answer is GEORGE COSTANZA